feature,shap_importance
feature_18,0.001935231354745183
feature_15,0.0011050686780537619
feature_13,0.0008670487396645116
feature_11,0.00027762943772853804
feature_5,0.00020841708579310547
feature_8,7.727355259304869e-05
feature_27,7.270756841709118e-05
feature_28,6.0767672903660645e-05
feature_4,5.776181451520533e-05
feature_7,2.234803128302314e-05
feature_22,2.1830230274565227e-05
feature_1,1.739389490614314e-05
feature_17,1.5109096346313884e-05
feature_12,1.0528105443712038e-05
feature_23,6.62828244837716e-06
feature_25,6.127190275091472e-06
feature_10,5.8505081506976725e-06
feature_3,5.531441833740804e-06
feature_6,1.3886498705335094e-06
feature_26,7.966842176049024e-07
feature_24,6.632405471470443e-07
feature_29,0.0
feature_16,0.0
feature_21,0.0
feature_20,0.0
feature_19,0.0
feature_2,0.0
feature_14,0.0
feature_9,0.0
feature_30,0.0
