feature,shap_importance
feature_18,0.0012677183750895518
feature_15,0.0004760106457459519
feature_13,0.00030069535842305823
feature_11,9.200609165980076e-05
feature_5,7.919528087294424e-05
feature_3,6.857070697808842e-05
feature_27,4.2204712311440224e-05
feature_12,3.5331206747386366e-05
feature_28,2.708450795909938e-05
feature_1,1.629076211652828e-05
feature_22,1.5132401080804358e-05
feature_2,1.4152319592957328e-05
feature_7,1.077308134802864e-05
feature_24,2.503968796229676e-06
feature_26,1.3073433290543676e-06
feature_21,0.0
feature_23,0.0
feature_29,0.0
feature_25,0.0
feature_16,0.0
feature_20,0.0
feature_19,0.0
feature_17,0.0
feature_14,0.0
feature_10,0.0
feature_9,0.0
feature_8,0.0
feature_6,0.0
feature_4,0.0
feature_30,0.0
