feature,shap_importance
feature_18,0.001548572587353954
feature_15,0.0005178630443183952
feature_11,0.00033900868153158303
feature_13,0.00022781553114769988
feature_5,0.00016473883183693738
feature_27,6.840668276657086e-05
feature_4,5.923421915184219e-05
feature_12,3.68540488456208e-05
feature_28,3.6299681876451664e-05
feature_17,3.515410010157622e-05
feature_8,3.370762993476559e-05
feature_1,3.131585956749715e-05
feature_10,1.6709227816098054e-05
feature_2,3.7301890365811704e-06
feature_23,2.7061105172381147e-06
feature_25,1.4793483337051544e-06
feature_30,1.1822598725822502e-06
feature_7,1.1597111995094037e-06
feature_6,8.281258109903628e-07
feature_14,3.0750496937943205e-07
feature_29,1.517330859947984e-07
feature_19,0.0
feature_20,0.0
feature_21,0.0
feature_22,0.0
feature_9,0.0
feature_24,0.0
feature_26,0.0
feature_3,0.0
feature_16,0.0
