feature,shap_importance
feature_15,0.6289166
feature_5,0.5515979
feature_13,0.2613767
feature_30,0.25649002
feature_8,0.2431528
feature_12,0.23712182
feature_20,0.19511193
feature_11,0.1813708
feature_9,0.1798264
feature_22,0.11971609
feature_18,0.09707018
feature_1,0.091601424
feature_6,0.09128017
feature_27,0.08905062
feature_19,0.085351445
feature_4,0.084755026
feature_14,0.08434082
feature_16,0.08257123
feature_17,0.08038333
feature_25,0.07178125
feature_2,0.06737355
feature_21,0.066049084
feature_7,0.06179885
feature_3,0.061594084
feature_29,0.054564152
feature_28,0.054054666
feature_10,0.04925895
feature_24,0.04395648
feature_23,0.040409125
feature_26,0.030014336
