feature,shap_importance
feature_15,0.6047565
feature_5,0.5355444
feature_11,0.19732615
feature_9,0.19458894
feature_29,0.19144274
feature_2,0.16422561
feature_30,0.16161461
feature_13,0.14799732
feature_20,0.14146666
feature_4,0.13276984
feature_21,0.12518825
feature_16,0.12514229
feature_1,0.096099995
feature_7,0.09393429
feature_17,0.09375099
feature_12,0.091268286
feature_8,0.072036676
feature_25,0.06518034
feature_24,0.06461072
feature_27,0.06349006
feature_23,0.06144792
feature_22,0.057459306
feature_14,0.056877106
feature_19,0.056254588
feature_10,0.054671362
feature_3,0.054038048
feature_26,0.053549316
feature_28,0.0446803
feature_18,0.035894826
feature_6,0.018121295
