feature,shap_importance
feature_5,0.536186
feature_15,0.4946203
feature_13,0.29631278
feature_9,0.23892526
feature_11,0.18190514
feature_30,0.18048188
feature_14,0.14982614
feature_1,0.14780702
feature_25,0.13876559
feature_27,0.1285798
feature_18,0.12705615
feature_4,0.122478396
feature_7,0.121020906
feature_20,0.11732288
feature_12,0.1119757
feature_10,0.10304084
feature_8,0.09642264
feature_21,0.09130423
feature_22,0.09071446
feature_17,0.0877788
feature_29,0.06388759
feature_16,0.047951765
feature_19,0.042443812
feature_26,0.03715776
feature_23,0.03631866
feature_6,0.033922136
feature_2,0.03368185
feature_3,0.031891853
feature_24,0.031800974
feature_28,0.025260791
