feature,shap_importance
feature_15,0.05036747934417233
feature_8,0.026834703082299613
feature_5,0.019893956637970566
feature_11,0.006027085793821862
feature_17,0.005770347094651257
feature_22,0.00440273049388165
feature_2,0.0040384203090687515
feature_30,0.004020466888205029
feature_21,0.0028660014179867116
feature_27,0.0028446721012252373
feature_7,0.0022357484445350473
feature_24,0.0018152034467936718
feature_19,0.0014762036330008379
feature_14,0.0011832731607160196
feature_13,0.0010764609475079478
feature_20,0.000976157134856637
feature_23,0.0009297208358010972
feature_16,0.0008325373461005921
feature_25,0.0005255780837011371
feature_6,0.0004938753304029635
feature_3,0.00046387328139103353
feature_26,0.00026391010501287964
feature_4,0.00020438912321960113
feature_18,0.0
feature_12,0.0
feature_10,0.0
feature_9,0.0
feature_28,0.0
feature_29,0.0
feature_1,0.0
