feature,mean_importance
feature_21,-9.554340729570621e-05
feature_19,-1.5821835871218486e-05
feature_3,-7.337492004285545e-06
feature_23,-6.374313091820835e-06
feature_20,-5.841346948710046e-06
feature_24,-3.1625513281412568e-06
feature_18,0.0
feature_29,0.0
feature_10,0.0
feature_1,0.0
feature_26,0.0
feature_6,0.0
feature_28,0.0
feature_9,0.0
feature_12,0.0
feature_4,1.3262312021247377e-06
feature_25,8.243006465827838e-06
feature_13,9.963380935307416e-06
feature_16,1.969418199742768e-05
feature_14,1.976689878128157e-05
feature_7,9.650095584259437e-05
feature_2,0.0001399398949620061
feature_22,0.00015230977583522397
feature_30,0.0002235688651586
feature_11,0.00025811322399766723
feature_27,0.0012597847341151165
feature_5,0.002625674623417763
feature_17,0.0036117573285362773
feature_8,0.0068602093940174245
feature_15,0.013003355600825767
