feature,shap_importance
feature_15,0.11630849459332625
feature_8,0.06640570720355492
feature_5,0.04042547682934401
feature_17,0.020722985833031206
feature_11,0.01578140959990088
feature_6,0.009069491221430399
feature_2,0.008646497514591215
feature_28,0.007944081419117682
feature_19,0.004523570615607286
feature_27,0.0038395090246210986
feature_30,0.0031356056607089776
feature_16,0.002883503562681779
feature_10,0.0022773649200792693
feature_21,0.0018226505719387057
feature_23,0.0016838475734987722
feature_13,0.0016831355664724639
feature_29,0.0012736187004432882
feature_3,0.000659894297626141
feature_4,0.0006483383260810947
feature_20,0.0005763094442688497
feature_22,0.0005657088259077588
feature_26,0.0005267187675012946
feature_9,0.00023027575193674827
feature_7,0.00016415872166297728
feature_14,0.0
feature_24,0.0
feature_25,0.0
feature_18,0.0
feature_12,0.0
feature_1,0.0
