feature,shap_importance
feature_15,0.067510749915409
feature_8,0.034958246690875217
feature_5,0.014113865334578783
feature_11,0.011219330388829508
feature_21,0.007708922966095116
feature_2,0.006452000935960946
feature_17,0.005993478610210549
feature_27,0.0038940685252901743
feature_16,0.0036048977959704394
feature_28,0.0024389604964872936
feature_6,0.002343795861407797
feature_14,0.002289801212201321
feature_26,0.0021027957839551067
feature_30,0.002095701168158302
feature_10,0.002053481700518789
feature_29,0.0017000288375059907
feature_25,0.001436202887141747
feature_23,0.0013417601319653306
feature_24,0.0011994341874209185
feature_13,0.00095523859498897
feature_9,0.0009417672821182003
feature_22,0.0005438502816150308
feature_19,0.0005408915354216527
feature_3,0.00045409788401453967
feature_4,0.00037572987245484366
feature_20,0.0003564624449315767
feature_12,0.0
feature_18,0.0
feature_7,0.0
feature_1,0.0
